par_id	par_vertex	comm_mode	spar_5	spar_6	spar_7	spar_8	power_label
425	15001	5	180	180	180	180	5
426	15011	5	5	5	5	5	5
427	15023	5	5	5	5	5	5
428	15029	5	5	5	5	5	15
429	15041	5	5	5	5	5	6
430	15483	129	110	110	110	110	5
431	15494	78	164	164	164	164	19
432	15746	78	164	164	164	164	3
433	15820	6	164	164	164	249	3
434	15832	3	3	3	3	3	19
435	16593	16	179	179	16	16	16
436	16617	16	16	16	16	16	16
437	16625	16	16	16	16	16	24
438	16640	24	24	24	24	24	24
439	16672	14	14	14	14	14	14
440	16971	14	14	14	14	14	15
441	17219	4	14	14	14	14	14
442	17313	14	14	14	14	14	24
443	17531	16	16	16	16	16	16
444	17757	4	4	4	4	4	16
445	17760	16	16	16	16	16	16
446	18194	14	192	192	192	14	6
447	18203	86	86	86	6	6	6
448	18209	6	26	6	6	6	26
449	18213	86	86	86	86	6	6
450	18221	6	167	167	167	167	6
451	18224	6	6	6	6	6	6
452	18231	14	14	14	14	14	6
453	18269	14	192	192	192	14	7
454	18281	6	6	6	6	6	6
455	18422	14	14	14	14	14	14
456	18488	6	167	167	167	167	7
457	18664	14	24	24	24	24	14
458	18680	6	6	6	6	6	14
459	18984	15	157	157	15	15	6
460	19167	15	15	15	15	15	6
461	19228	4	4	4	4	4	14
462	19472	86	86	86	6	6	6
463	19789	6	6	6	6	6	6
464	19799	11	11	11	11	11	13
465	19810	11	11	11	11	11	2
466	19817	3	3	3	3	3	3
467	19825	112	70	70	70	0	3
468	19849	120	70	70	70	0	2
469	19916	14	6	6	6	6	7
470	19975	6	6	6	6	6	11
471	20119	89	6	6	6	6	6
472	20152	121	45	45	45	45	12
473	20286	6	6	6	6	6	11
474	20337	76	10	10	10	10	11
475	20365	6	6	6	6	6	6
476	20706	66	0	0	0	0	11
477	20833	136	73	73	73	73	11
478	21442	6	86	86	86	6	3
479	21459	10	10	10	10	10	17
480	21467	74	17	74	74	74	17
481	21478	10	10	10	10	10	17
482	21495	5	5	5	5	5	21
483	21501	40	0	0	0	0	21
484	21504	23	87	87	87	87	2
485	21525	10	10	10	10	10	10
486	21552	126	126	126	126	126	5
487	21562	5	5	5	5	5	5
488	21582	5	5	5	5	5	15
489	21587	5	5	5	5	5	2
490	21591	15	15	15	15	15	6
491	21633	32	0	0	0	0	3
492	21704	6	6	6	6	6	2
493	21841	74	17	17	74	74	10
494	22117	10	10	10	10	10	10
495	22171	10	10	10	10	10	10
496	22179	148	0	0	0	0	2
497	22382	31	0	0	0	0	10
498	22468	5	5	5	5	5	2
499	22589	165	87	87	87	87	10
500	23147	127	127	127	127	127	5
501	23158	127	127	127	127	127	5
502	23165	127	127	127	127	127	5
503	23170	126	126	126	126	126	5
504	23177	126	126	126	126	126	5
505	23189	126	126	126	126	126	5
506	23536	55	55	55	55	55	5
507	23574	5	5	5	5	5	5
508	23729	55	55	55	55	55	5
509	23781	5	127	127	127	127	5
510	23800	5	5	5	5	5	5
511	24014	55	180	180	180	180	5
512	24091	55	180	180	180	180	5
513	24152	5	5	5	5	5	5
514	25157	78	78	78	78	78	5
515	25175	127	127	127	127	127	5
516	25215	5	126	126	126	126	5
517	25414	78	78	78	78	78	5
518	25468	5	78	78	78	78	5
519	25552	78	78	78	78	78	5
520	25736	101	101	101	78	78	5
521	26284	10	10	10	10	10	10
522	26427	21	21	21	21	21	21
